method,variable_1,variable_2,correlation
pearson,"Угол нашивки, град",Плотность нашивки,0.1190618657
pearson,Шаг нашивки,Плотность нашивки,0.009428955924
spearman,Соотношение матрица-наполнитель,"Плотность, кг/м3",-0.004095211192
spearman,Соотношение матрица-наполнитель,"модуль упругости, ГПа",0.06124627876
spearman,Соотношение матрица-наполнитель,"Количество отвердителя, м.%",0.02332886668
spearman,Соотношение матрица-наполнитель,"Содержание эпоксидных групп,%_2",-0.02870470732
spearman,Соотношение матрица-наполнитель,"Температура вспышки, С_2",-0.007343805938
spearman,Соотношение матрица-наполнитель,"Поверхностная плотность, г/м2",-0.007716537217
spearman,Соотношение матрица-наполнитель,"Модуль упругости при растяжении, ГПа",-0.01477382118
spearman,Соотношение матрица-наполнитель,"Прочность при растяжении, МПа",0.03531685618
spearman,Соотношение матрица-наполнитель,"Потребление смолы, г/м2",0.05600931256
spearman,Соотношение матрица-наполнитель,"Угол нашивки, град",0.007980345511
spearman,Соотношение матрица-наполнитель,Шаг нашивки,0.0669668793
spearman,Соотношение матрица-наполнитель,Плотность нашивки,0.01934758859
spearman,"Плотность, кг/м3","модуль упругости, ГПа",-0.02629175453
spearman,"Плотность, кг/м3","Количество отвердителя, м.%",-0.01934663561
spearman,"Плотность, кг/м3","Содержание эпоксидных групп,%_2",0.007470039135
spearman,"Плотность, кг/м3","Температура вспышки, С_2",-0.05523588785
spearman,"Плотность, кг/м3","Поверхностная плотность, г/м2",0.01799618004
spearman,"Плотность, кг/м3","Модуль упругости при растяжении, ГПа",-0.02768199413
spearman,"Плотность, кг/м3","Прочность при растяжении, МПа",-0.04905233788
spearman,"Плотность, кг/м3","Потребление смолы, г/м2",-0.04113803545
spearman,"Плотность, кг/м3","Угол нашивки, град",-0.06299810895
spearman,"Плотность, кг/м3",Шаг нашивки,-0.03988657782
spearman,"Плотность, кг/м3",Плотность нашивки,0.07399647889
spearman,"модуль упругости, ГПа","Количество отвердителя, м.%",0.01534047053
spearman,"модуль упругости, ГПа","Содержание эпоксидных групп,%_2",-0.006926596392
spearman,"модуль упругости, ГПа","Температура вспышки, С_2",0.01785258128
spearman,"модуль упругости, ГПа","Поверхностная плотность, г/м2",0.0646740157
spearman,"модуль упругости, ГПа","Модуль упругости при растяжении, ГПа",-0.005756643512
spearman,"модуль упругости, ГПа","Прочность при растяжении, МПа",0.04314045873
spearman,"модуль упругости, ГПа","Потребление смолы, г/м2",0.01103889
spearman,"модуль упругости, ГПа","Угол нашивки, град",-0.06303188864
spearman,"модуль упругости, ГПа",Шаг нашивки,-0.01696248942
spearman,"модуль упругости, ГПа",Плотность нашивки,0.07137955243
spearman,"Количество отвердителя, м.%","Содержание эпоксидных групп,%_2",-0.0146933045
spearman,"Количество отвердителя, м.%","Температура вспышки, С_2",0.1058891923
spearman,"Количество отвердителя, м.%","Поверхностная плотность, г/м2",0.06466827264
spearman,"Количество отвердителя, м.%","Модуль упругости при растяжении, ГПа",-0.08065236267
spearman,"Количество отвердителя, м.%","Прочность при растяжении, МПа",-0.06618937444
spearman,"Количество отвердителя, м.%","Потребление смолы, г/м2",-0.01937145111
spearman,"Количество отвердителя, м.%","Угол нашивки, град",0.02985369665
spearman,"Количество отвердителя, м.%",Шаг нашивки,0.03523330399
spearman,"Количество отвердителя, м.%",Плотность нашивки,-0.02799166754
spearman,"Содержание эпоксидных групп,%_2","Температура вспышки, С_2",0.01413050305
spearman,"Содержание эпоксидных групп,%_2","Поверхностная плотность, г/м2",0.003623863719
spearman,"Содержание эпоксидных групп,%_2","Модуль упругости при растяжении, ГПа",0.05399915901
spearman,"Содержание эпоксидных групп,%_2","Прочность при растяжении, МПа",-0.005177739787
spearman,"Содержание эпоксидных групп,%_2","Потребление смолы, г/м2",0.02404735202
spearman,"Содержание эпоксидных групп,%_2","Угол нашивки, град",0.02226526776
spearman,"Содержание эпоксидных групп,%_2",Шаг нашивки,-0.01577423739
spearman,"Содержание эпоксидных групп,%_2",Плотность нашивки,-0.03044736698
spearman,"Температура вспышки, С_2","Поверхностная плотность, г/м2",0.02488493433
spearman,"Температура вспышки, С_2","Модуль упругости при растяжении, ГПа",0.05236180344
spearman,"Температура вспышки, С_2","Прочность при растяжении, МПа",-0.03352281535
spearman,"Температура вспышки, С_2","Потребление смолы, г/м2",0.04164530297
spearman,"Температура вспышки, С_2","Угол нашивки, град",0.02945502342
spearman,"Температура вспышки, С_2",Шаг нашивки,0.02317143878
spearman,"Температура вспышки, С_2",Плотность нашивки,0.01057439917
spearman,"Поверхностная плотность, г/м2","Модуль упругости при растяжении, ГПа",0.01753847347
spearman,"Поверхностная плотность, г/м2","Прочность при растяжении, МПа",0.02095297265
spearman,"Поверхностная плотность, г/м2","Потребление смолы, г/м2",-0.01910554853
spearman,"Поверхностная плотность, г/м2","Угол нашивки, град",0.07343813749
spearman,"Поверхностная плотность, г/м2",Шаг нашивки,0.01626854203
spearman,"Поверхностная плотность, г/м2",Плотность нашивки,-0.03910726615
spearman,"Модуль упругости при растяжении, ГПа","Прочность при растяжении, МПа",-0.02056583218
spearman,"Модуль упругости при растяжении, ГПа","Потребление смолы, г/м2",0.04139688623
spearman,"Модуль упругости при растяжении, ГПа","Угол нашивки, град",0.02856978702
spearman,"Модуль упругости при растяжении, ГПа",Шаг нашивки,-0.02308960104
spearman,"Модуль упругости при растяжении, ГПа",Плотность нашивки,-0.005112829949
spearman,"Прочность при растяжении, МПа","Потребление смолы, г/м2",0.03513773635
spearman,"Прочность при растяжении, МПа","Угол нашивки, град",-0.003257009778
spearman,"Прочность при растяжении, МПа",Шаг нашивки,-0.05414847568
spearman,"Прочность при растяжении, МПа",Плотность нашивки,0.05232669716
spearman,"Потребление смолы, г/м2","Угол нашивки, град",0.01983940582
spearman,"Потребление смолы, г/м2",Шаг нашивки,-0.01197489859
spearman,"Потребление смолы, г/м2",Плотность нашивки,0.03777294441
spearman,"Угол нашивки, град",Шаг нашивки,-0.03321882045
spearman,"Угол нашивки, град",Плотность нашивки,0.1108398249
spearman,Шаг нашивки,Плотность нашивки,0.002010064495
